id,gender,age,phoneExperience,screenSize,dailyUsage,gloveSize,handSize,phoneHeight,phoneWidth,phoneThickness,phoneWeight
0,Male,29,6-10,5-6,8-,L,9.5-10.5,147.1,68.8,8.2,162
2,Male,20,3-5,5-6,1-2,L,9.5-10.5,162.3,77.2,8.9,199
5,Male,22,6-10,6-,4-8,S,7.5-8.5,160.9,74.4,8.1,190
3,Male,24,6-10,6-,1-2,M,8.5-9.5,156.7,75.2,8.3,178
8,Male,27,6-10,5-6,1-2,M,8.5-9.5,159.8,76.8,7.5,168
9,Male,28,6-10,5-6,4-8,L,9.5-10.5,149.2,70.6,8.4,172
12,Male,26,6-10,6-,4-8,L,9.5-10.5,159.5,74.7,7.7,166
11,Male,27,6-10,5-6,2-4,M,8.5-9.5,154.2,74.1,7.3,153
6,Female,29,6-10,5-6,2-4,M,6.5-7.5,152.7,74.7,7.4,158
13,Male,25,6-10,5-6,2-4,M,8.5-9.5,159.5,74.7,7.7,166
10,Male,24,6-10,6-,1-2,M,8.5-9.5,158.1,73.8,8.5,189
4,Male,30,10-,6-,1-2,M,8.5-9.5,153.1,74.4,8.7,170
16,Female,30,3-5,5-6,2-4,S,6.5-7.5,149.9,70.8,7.7,162
18,Female,24,6-10,5-6,4-8,S,6.5-7.5,155.7,75.4,7.8,177
15,Female,25,6-10,4-5,4-8,S,6.5-7.5,151.7,75.4,7.3,158
14,Female,36,10-,5-6,8-,XS,5.5-6.5,153.6,75.5,8.2,163
22,Female,29,6-10,5-6,1-2,S,6.5-7.5,145.6,68.2,7.9,148
1,Male,24,6-10,5-6,4-8,S,7.5-8.5,148.9,68.1,8,155
7,Male,38,10-,5-6,2-4,L,9.5-10.5,141.2,69.1,7.1,146
21,Male,25,6-10,6-,2-4,L,9.5-10.5,157.5,74.8,8.2,185
20,Female,24,6-10,6-,4-8,XS,5.5-6.5,158.5,73.6,7.9,172
23,Male,27,6-10,5-6,2-4,S,7.5-8.5,155.7,75.4,7.8,177
17,Female,27,10-,5-6,-1,XS,5.5-6.5,158.7,75.4,7.3,166
19,Female,23,6-10,6-,4-8,M,6.5-7.5,161.9,76.4,8.8,201
26,Female,26,6-10,5-6,4-8,XS,5.5-6.5,152.7,74.7,7.4,158
24,Male,25,6-10,5-6,2-4,M,8.5-9.5,160.1,76.1,8.2,167
25,Female,25,6-10,4-5,8-,M,6.5-7.5,159.2,75.2,8.1,186
27,Female,33,10-,6-,4-8,M,6.5-7.5,158.1,73.8,8.5,189
29,Female,25,6-10,5-6,2-4,L,7.5-8.5,144,69.4,8.2,143
30,Female,23,6-10,5-6,8-,XL,7.5-8.5,144,69.4,8.2,143
31,Female,25,6-10,5-6,8-,S,6.5-7.5,144,69.4,8.2,143
