id,gesture,manipulation,direction,magnitude,type,likert
5,SHIFT_ABD,0,0,2,ease,3
5,SHIFT_ABD,0,0,2,comfort,3
5,SHIFT_ABD,0,0,2,confidence,5
5,SHIFT_ABD,0,0,2,social_acceptance,4
5,SHIFT_ADD,0,1,2,ease,3
5,SHIFT_ADD,0,1,2,comfort,4
5,SHIFT_ADD,0,1,2,confidence,5
5,SHIFT_ADD,0,1,2,social_acceptance,4
5,SPIN_ABD_HALF,1,0,0,ease,3
5,SPIN_ABD_HALF,1,0,0,comfort,2
5,SPIN_ABD_HALF,1,0,0,confidence,4
5,SPIN_ABD_HALF,1,0,0,social_acceptance,3
5,SPIN_ABD_FULL,1,0,1,ease,2
5,SPIN_ABD_FULL,1,0,1,comfort,2
5,SPIN_ABD_FULL,1,0,1,confidence,3
5,SPIN_ABD_FULL,1,0,1,social_acceptance,2
5,SPIN_ADD_HALF,1,1,0,ease,3
5,SPIN_ADD_HALF,1,1,0,comfort,2
5,SPIN_ADD_HALF,1,1,0,confidence,3
5,SPIN_ADD_HALF,1,1,0,social_acceptance,2
5,SPIN_ADD_FULL,1,1,1,ease,2
5,SPIN_ADD_FULL,1,1,1,comfort,1
5,SPIN_ADD_FULL,1,1,1,confidence,2
5,SPIN_ADD_FULL,1,1,1,social_acceptance,1
5,ROTATE_ABD_HALF,2,0,0,ease,4
5,ROTATE_ABD_HALF,2,0,0,comfort,3
5,ROTATE_ABD_HALF,2,0,0,confidence,6
5,ROTATE_ABD_HALF,2,0,0,social_acceptance,5
5,ROTATE_ABD_FULL,2,0,1,ease,3
5,ROTATE_ABD_FULL,2,0,1,comfort,2
5,ROTATE_ABD_FULL,2,0,1,confidence,4
5,ROTATE_ABD_FULL,2,0,1,social_acceptance,2
5,ROTATE_ADD_HALF,2,1,0,ease,6
5,ROTATE_ADD_HALF,2,1,0,comfort,3
5,ROTATE_ADD_HALF,2,1,0,confidence,6
5,ROTATE_ADD_HALF,2,1,0,social_acceptance,5
5,ROTATE_ADD_FULL,2,1,1,ease,4
5,ROTATE_ADD_FULL,2,1,1,comfort,3
5,ROTATE_ADD_FULL,2,1,1,confidence,6
5,ROTATE_ADD_FULL,2,1,1,social_acceptance,4
5,FLIP_ABD_HALF,3,0,0,ease,1
5,FLIP_ABD_HALF,3,0,0,comfort,1
5,FLIP_ABD_HALF,3,0,0,confidence,1
5,FLIP_ABD_HALF,3,0,0,social_acceptance,1
5,FLIP_ABD_FULL,3,0,1,ease,1
5,FLIP_ABD_FULL,3,0,1,comfort,1
5,FLIP_ABD_FULL,3,0,1,confidence,1
5,FLIP_ABD_FULL,3,0,1,social_acceptance,1
5,FLIP_ADD_HALF,3,1,0,ease,1
5,FLIP_ADD_HALF,3,1,0,comfort,1
5,FLIP_ADD_HALF,3,1,0,confidence,1
5,FLIP_ADD_HALF,3,1,0,social_acceptance,1
5,FLIP_ADD_FULL,3,1,1,ease,1
5,FLIP_ADD_FULL,3,1,1,comfort,1
5,FLIP_ADD_FULL,3,1,1,confidence,1
5,FLIP_ADD_FULL,3,1,1,social_acceptance,1
3,SHIFT_ABD,0,0,2,ease,2
3,SHIFT_ABD,0,0,2,comfort,2
3,SHIFT_ABD,0,0,2,confidence,4
3,SHIFT_ABD,0,0,2,social_acceptance,1
3,SHIFT_ADD,0,1,2,ease,5
3,SHIFT_ADD,0,1,2,comfort,5
3,SHIFT_ADD,0,1,2,confidence,6
3,SHIFT_ADD,0,1,2,social_acceptance,4
3,SPIN_ABD_HALF,1,0,0,ease,4
3,SPIN_ABD_HALF,1,0,0,comfort,4
