id,scenario,manipulation,category,rating
1,0,0,comfort,4
1,1,0,comfort,7
1,2,0,comfort,7
1,3,0,comfort,2
1,0,0,willingness,4
1,1,0,willingness,7
1,2,0,willingness,7
1,3,0,willingness,3
1,0,1,comfort,7
1,1,1,comfort,7
1,2,1,comfort,7
1,3,1,comfort,7
1,0,1,willingness,7
1,1,1,willingness,7
1,2,1,willingness,7
1,3,1,willingness,7
1,0,2,comfort,5
1,1,2,comfort,7
1,2,2,comfort,7
1,3,2,comfort,3
1,0,2,willingness,7
1,1,2,willingness,7
1,2,2,willingness,7
1,3,2,willingness,3
1,4,0,comfort,7
1,5,0,comfort,3
1,6,0,comfort,7
1,7,0,comfort,2
1,4,0,willingness,7
1,5,0,willingness,5
1,6,0,willingness,7
1,7,0,willingness,3
1,4,1,comfort,7
1,5,1,comfort,7
1,6,1,comfort,7
1,7,1,comfort,7
1,4,1,willingness,7
1,5,1,willingness,7
1,6,1,willingness,7
1,7,1,willingness,7
1,4,2,comfort,6
1,5,2,comfort,4
1,6,2,comfort,6
1,7,2,comfort,3
1,4,2,willingness,7
1,5,2,willingness,4
1,6,2,willingness,7
1,7,2,willingness,3
1,8,0,comfort,7
1,9,0,comfort,2
1,8,0,willingness,7
1,9,0,willingness,2
1,8,1,comfort,7
1,9,1,comfort,7
1,8,1,willingness,7
1,9,1,willingness,7
1,8,2,comfort,6
1,9,2,comfort,2
1,8,2,willingness,7
1,9,2,willingness,3
2,0,0,comfort,5
2,1,0,comfort,7
2,2,0,comfort,6
2,3,0,comfort,4
2,0,0,willingness,5
2,1,0,willingness,7
2,2,0,willingness,6
2,3,0,willingness,3
2,0,1,comfort,7
2,1,1,comfort,7
2,2,1,comfort,7
2,3,1,comfort,7
2,0,1,willingness,7
2,1,1,willingness,7
2,2,1,willingness,7
2,3,1,willingness,7
2,0,2,comfort,5
2,1,2,comfort,7
2,2,2,comfort,6
2,3,2,comfort,3
2,0,2,willingness,4
2,1,2,willingness,5
2,2,2,willingness,3
2,3,2,willingness,2
2,4,0,comfort,7
2,5,0,comfort,5
2,6,0,comfort,6
2,7,0,comfort,4
2,4,0,willingness,7
2,5,0,willingness,5
2,6,0,willingness,6
2,7,0,willingness,4
2,4,1,comfort,7
2,5,1,comfort,7
2,6,1,comfort,7
2,7,1,comfort,7
2,4,1,willingness,7
2,5,1,willingness,7
2,6,1,willingness,7
2,7,1,willingness,7
2,4,2,comfort,5
2,5,2,comfort,4
2,6,2,comfort,5
2,7,2,comfort,3
2,4,2,willingness,4
2,5,2,willingness,2
2,6,2,willingness,3
2,7,2,willingness,1
2,8,0,comfort,6
2,9,0,comfort,3
2,8,0,willingness,6
2,9,0,willingness,3
2,8,1,comfort,6
2,9,1,comfort,6
2,8,1,willingness,6
2,9,1,willingness,6
2,8,2,comfort,4
2,9,2,comfort,2
2,8,2,willingness,2
2,9,2,willingness,1
3,0,0,comfort,7
3,1,0,comfort,7
3,2,0,comfort,5
3,3,0,comfort,5
3,0,0,willingness,7
3,1,0,willingness,7
3,2,0,willingness,7
3,3,0,willingness,7
3,0,1,comfort,7
3,1,1,comfort,7
3,2,1,comfort,7
3,3,1,comfort,7
3,0,1,willingness,7
3,1,1,willingness,7
3,2,1,willingness,7
3,3,1,willingness,7
3,0,2,comfort,5
3,1,2,comfort,5
3,2,2,comfort,3
3,3,2,comfort,3
3,0,2,willingness,3
3,1,2,willingness,5
3,2,2,willingness,5
3,3,2,willingness,1
3,4,0,comfort,7
3,5,0,comfort,6
3,6,0,comfort,7
3,7,0,comfort,6
3,4,0,willingness,7
3,5,0,willingness,6
3,6,0,willingness,7
3,7,0,willingness,6
3,4,1,comfort,7
3,5,1,comfort,7
3,6,1,comfort,7
3,7,1,comfort,6
3,4,1,willingness,7
3,5,1,willingness,7
3,6,1,willingness,7
3,7,1,willingness,7
3,4,2,comfort,4
3,5,2,comfort,2
3,6,2,comfort,4
3,7,2,comfort,2
3,4,2,willingness,3
3,5,2,willingness,1
3,6,2,willingness,3
3,7,2,willingness,1
3,8,0,comfort,7
3,9,0,comfort,7
3,8,0,willingness,7
3,9,0,willingness,1
3,8,1,comfort,7
3,9,1,comfort,7
3,8,1,willingness,7
3,9,1,willingness,7
3,8,2,comfort,4
3,9,2,comfort,3
3,8,2,willingness,2
3,9,2,willingness,1
6,0,0,comfort,3
6,1,0,comfort,3
6,2,0,comfort,3
6,3,0,comfort,3
6,0,0,willingness,1
6,1,0,willingness,1
6,2,0,willingness,1
6,3,0,willingness,1
6,0,1,comfort,6
6,1,1,comfort,6
6,2,1,comfort,6
6,3,1,comfort,6
6,0,1,willingness,5
6,1,1,willingness,5
6,2,1,willingness,5
6,3,1,willingness,5
6,0,2,comfort,4
6,1,2,comfort,4
6,2,2,comfort,4
6,3,2,comfort,4
6,0,2,willingness,2
6,1,2,willingness,2
6,2,2,willingness,2
6,3,2,willingness,2
6,4,0,comfort,4
6,5,0,comfort,4
6,6,0,comfort,4
6,7,0,comfort,4
6,4,0,willingness,1
6,5,0,willingness,1
6,6,0,willingness,1
6,7,0,willingness,1
6,4,1,comfort,7
6,5,1,comfort,7
6,6,1,comfort,7
6,7,1,comfort,7
6,4,1,willingness,4
6,5,1,willingness,4
6,6,1,willingness,4
6,7,1,willingness,4
6,4,2,comfort,4
6,5,2,comfort,4
6,6,2,comfort,4
6,7,2,comfort,4
6,4,2,willingness,2
6,5,2,willingness,2
