gesture,FP,Dataset
SPIN_ABD_HALF,0.91,Extrasensory
SPIN_ABD_FULL,0.38,Extrasensory
SPIN_ADD_HALF,0.75,Extrasensory
SPIN_ADD_FULL,0.37,Extrasensory
ROTATE_ABD_HALF,1.89,Extrasensory
ROTATE_ABD_FULL,0.52,Extrasensory
ROTATE_ADD_HALF,1.91,Extrasensory
ROTATE_ADD_FULL,0.59,Extrasensory
FLIP_ABD_HALF,1.01,Extrasensory
FLIP_ABD_FULL,0.16,Extrasensory
FLIP_ADD_HALF,0.45,Extrasensory
FLIP_ADD_FULL,0.13,Extrasensory
SPIN_ABD_HALF,0.28,HMOG
SPIN_ABD_FULL,0.26,HMOG
SPIN_ADD_HALF,0.91,HMOG
SPIN_ADD_FULL,1.24,HMOG
ROTATE_ABD_HALF,0.02,HMOG
ROTATE_ABD_FULL,0.02,HMOG
ROTATE_ADD_HALF,0.02,HMOG
ROTATE_ADD_FULL,0,HMOG
FLIP_ABD_HALF,0,HMOG
FLIP_ABD_FULL,0,HMOG
FLIP_ADD_HALF,0,HMOG
FLIP_ADD_FULL,0,HMOG
