id,block,trial,gesture,manipulation,direction,magnitude,time,recognized,correct
1,0,0,4,0,1,1,4267,4,true
1,0,1,4,0,1,1,3076,4,true
1,0,2,4,0,1,1,3302,4,true
1,0,3,4,0,1,1,3559,4,true
1,0,4,4,0,1,1,5736,4,true
1,0,5,4,0,1,1,4654,4,true
1,0,6,4,0,1,1,2790,4,true
1,1,0,10,2,0,1,3338,10,true
1,1,1,10,2,0,1,3002,10,true
1,1,2,10,2,0,1,3668,10,true
1,1,3,10,2,0,1,2946,10,true
1,1,4,10,2,0,1,3325,10,true
1,1,5,10,2,0,1,3306,10,true
1,1,6,10,2,0,1,3191,10,true
1,2,0,7,1,1,0,2072,7,true
1,2,1,7,1,1,0,2331,7,true
1,2,2,7,1,1,0,2778,7,true
1,2,3,7,1,1,0,2845,7,true
1,2,4,7,1,1,0,1753,7,true
1,2,5,7,1,1,0,1818,7,true
1,2,6,7,1,1,0,1759,7,true
1,3,0,1,0,0,0,2284,1,true
1,3,1,1,0,0,0,2367,1,true
1,3,2,1,0,0,0,2354,1,true
1,3,3,1,0,0,0,2443,1,true
1,3,4,1,0,0,0,2800,1,true
1,3,5,1,0,0,0,2749,1,true
1,3,6,1,0,0,0,2212,1,true
1,4,0,2,0,0,1,2627,2,true
1,4,1,2,0,0,1,3318,2,true
1,4,2,2,0,0,1,2797,2,true
1,4,3,2,0,0,1,3330,2,true
1,4,4,2,0,0,1,3756,2,true
1,4,5,2,0,0,1,3480,2,true
1,4,6,2,0,0,1,3560,2,true
1,5,0,3,0,1,0,3053,3,true
1,5,1,3,0,1,0,2783,3,true
1,5,2,3,0,1,0,3377,3,true
1,5,3,3,0,1,0,2126,3,true
1,5,4,3,0,1,0,6013,0,false
1,5,5,3,0,1,0,2734,3,true
1,5,6,3,0,1,0,2476,3,true
1,6,0,12,2,1,1,3511,12,true
1,6,1,12,2,1,1,3312,12,true
1,6,2,12,2,1,1,3206,12,true
1,6,3,12,2,1,1,3463,12,true
1,6,4,12,2,1,1,3223,12,true
1,6,5,12,2,1,1,2983,12,true
1,6,6,12,2,1,1,3020,12,true
1,7,0,6,1,0,1,3743,6,true
1,7,1,6,1,0,1,2816,6,true
1,7,2,6,1,0,1,1972,6,true
1,7,3,6,1,0,1,2021,6,true
1,7,4,6,1,0,1,2811,6,true
1,7,5,6,1,0,1,2296,6,true
1,7,6,6,1,0,1,2087,6,true
1,8,0,9,2,0,0,2464,9,true
1,8,1,9,2,0,0,2054,9,true
1,8,2,9,2,0,0,2384,9,true
1,8,3,9,2,0,0,1738,9,true
1,8,4,9,2,0,0,1669,9,true
1,8,5,9,2,0,0,2061,9,true
1,8,6,9,2,0,0,2440,9,true
1,9,0,8,1,1,1,1797,8,true
1,9,1,8,1,1,1,1829,8,true
1,9,2,8,1,1,1,2818,8,true
1,9,3,8,1,1,1,3084,8,true
1,9,4,8,1,1,1,2931,8,true
1,9,5,8,1,1,1,1753,8,true
1,9,6,8,1,1,1,2480,8,true
1,10,0,11,2,1,0,2353,11,true
1,10,1,11,2,1,0,2461,11,true
1,10,2,11,2,1,0,2019,11,true
1,10,3,11,2,1,0,2100,11,true
1,10,4,11,2,1,0,2074,11,true
1,10,5,11,2,1,0,2011,11,true
1,10,6,11,2,1,0,2338,11,true
1,11,0,5,1,0,0,1391,5,true
1,11,1,5,1,0,0,1724,5,true
1,11,2,5,1,0,0,1602,5,true
1,11,3,5,1,0,0,1678,5,true
1,11,4,5,1,0,0,1583,5,true
1,11,5,5,1,0,0,1634,5,true
1,11,6,5,1,0,0,1832,5,true
14,0,0,5,1,0,0,2601,5,true
14,0,1,5,1,0,0,2672,5,true
14,0,2,5,1,0,0,3618,5,true
14,0,3,5,1,0,0,1902,5,true
14,0,4,5,1,0,0,1390,5,true
